Time,Object Name,Status,Value,Units,Alert ID,Priority
12.03.2025 14:09:10,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:12,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:12,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:09:12,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:09:12,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:13,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:14,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:14,TIC Turbo Power,,6.3,,0,0
12.03.2025 14:09:14,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:09:14,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:15,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:16,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:16,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:09:17,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:09:17,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:17,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:18,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:09:18,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:18,TIC Turbo Power,,8.0,,0,0
12.03.2025 14:09:19,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:19,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:21,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:21,TIC Turbo Power,,7.3,,0,0
12.03.2025 14:09:21,TIC Gauge 1,11,3.2183e+01,59,0,0
12.03.2025 14:09:21,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:21,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:23,TIC Turbo Power,,7.0,,0,0
12.03.2025 14:09:23,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:23,TIC Gauge 1,11,3.2237e+01,59,0,0
12.03.2025 14:09:23,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:23,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:25,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:25,TIC Turbo Power,,8.2,,0,0
12.03.2025 14:09:25,TIC Gauge 1,11,3.2183e+01,59,0,0
12.03.2025 14:09:25,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:25,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:27,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:27,TIC Turbo Power,,6.8,,0,0
